,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
0,Al0.25 Co1 Fe1 Ni1,FCC,CAST,FCC,,,7.9,138.0,C,25.0,158.0,,,,,192.0,,,
3,Al1 Co1 Fe1 Ni1,BCC,CAST,BCC,,,6.6,456.0,C,25.0,964.0,,,,,162.0,,,
4,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,204.0,,,,,207.0,,,
5,Co1 Fe1 Ni1,FCC,CAST,FCC,,,8.5,125.0,C,25.0,209.0,,,,,207.0,,,
6,Co1 Fe1 Ni1 Si0.25,FCC,CAST,FCC,,,7.7,149.0,C,25.0,196.0,,,,,186.0,,,
9,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,FCC,24.0,,8.2,,T,25.0,274.0,708.0,39.0,,,226.0,,,
10,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,FCC,36.0,,8.1,,T,25.0,282.0,694.0,44.0,,,222.0,,,
11,Co1 Cr1 Ni1,FCC,WROUGHT,FCC,41.0,,8.3,,T,25.0,300.0,860.0,60.0,,,231.0,,,
12,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,48.0,,8.2,,T,25.0,170.0,550.0,41.0,,,204.0,,,
13,Co1 Fe1 Ni1,FCC,WROUGHT,FCC,28.0,,8.5,,T,25.0,211.0,513.0,31.0,,,207.0,,,
14,Co1 Mn1 Ni1,FCC,WROUGHT,FCC,32.0,,8.4,,T,25.0,231.0,653.0,38.0,,,202.0,,,
15,Fe1 Mn1 Ni1,FCC,WROUGHT,FCC,30.0,,8.1,,T,25.0,221.0,602.0,36.0,,,203.0,,,
21,Co1 Cr1 Fe1 Ni1,FCC,CAST,FCC,175.0,,8.2,,T,25.0,148.0,413.0,48.0,,,226.0,,,
22,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,110.0,,25.0,,,,,,213.0,,,
23,Al0.25 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.7,113.0,,25.0,,,,,,213.0,,,
24,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,131.0,,25.0,,,,,,207.0,,,
25,Al0.375 Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,7.5,196.0,,25.0,,,,,,207.0,,,
30,Al0.875 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.9,538.0,,25.0,,,,,,188.0,,,
32,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,487.0,,25.0,,,,,,177.0,,,
33,Al1 Co0.8 Cr0.8 Fe0.8 Ni0.8,BCC,ANNEAL,BCC,,,6.5,499.0,,25.0,,,,,,177.0,,,
34,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,484.0,,25.0,,,,,,171.0,,,
35,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,ANNEAL,BCC,,,6.2,517.0,,25.0,,,,,,171.0,,,
36,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,509.0,,25.0,,,,,,160.0,,,
37,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,ANNEAL,BCC,,,5.9,512.0,,25.0,,,,,,160.0,,,
38,Al1 Co1 Cr1 Fe1 Ni1,BCC,ANNEAL,BCC,,,6.7,484.0,,25.0,,,,,,184.0,,,
