,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
0,Al0.25 Co1 Fe1 Ni1,FCC,CAST,7.9,C,25.0,158.0,192.0
3,Al1 Co1 Fe1 Ni1,BCC,CAST,6.6,C,25.0,964.0,162.0
4,Co1 Fe1 Ni1,FCC,CAST,8.5,C,25.0,204.0,207.0
5,Co1 Fe1 Ni1,FCC,CAST,8.5,C,25.0,209.0,207.0
6,Co1 Fe1 Ni1 Si0.25,FCC,CAST,7.7,C,25.0,196.0,186.0
9,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,274.0,226.0
10,Co1 Cr1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,282.0,222.0
11,Co1 Cr1 Ni1,FCC,WROUGHT,8.3,T,25.0,300.0,231.0
12,Co1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.2,T,25.0,170.0,204.0
13,Co1 Fe1 Ni1,FCC,WROUGHT,8.5,T,25.0,211.0,207.0
14,Co1 Mn1 Ni1,FCC,WROUGHT,8.4,T,25.0,231.0,202.0
15,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,221.0,203.0
21,Co1 Cr1 Fe1 Ni1,FCC,CAST,8.2,T,25.0,148.0,226.0
67,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,C,25.0,1251.0,184.0
75,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,C,25.0,1138.0,184.0
76,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,6.8,C,25.0,1804.0,188.0
81,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,C,25.0,1051.0,184.0
82,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,6.8,C,25.0,1641.0,182.0
86,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,C,25.0,1373.0,184.0
101,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,6.7,C,25.0,1110.0,184.0
103,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,6.5,C,25.0,1265.0,176.0
104,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,6.2,C,25.0,1481.0,169.0
105,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,6.0,C,25.0,1834.0,162.0
108,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,7.5,C,25.0,750.0,189.0
111,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,7.8,C,25.0,700.0,194.0
125,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,7.7,T,25.0,220.0,212.0
126,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,7.5,T,25.0,244.0,205.0
